Customer Name,SurveyID for external use (e.g. tech support),Club's Name,Social Media Source,Creation Date,Comment,Overall Score
**,wd1zb55pm2nic16o0qahvhp0,Chicago Health Hub,Instagram,08/03/24 16:41,"Waiting times were too long, had to wait over an hour past my scheduled time.",5
**,sxnrseiqfrrshbg6s2a33zmy,Dallas Care,Facebook,08/26/25 07:11,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",4
**,pklxq8kt2jx7s21xqf2wm9ua,Chicago Health Hub,Twitter,09/16/24 18:36,"Communication was clear and timely, received all updates via SMS and email.",2
**,ofp0rbbpv73mk5kzcb9yea0l,Manchester Health Hub,Instagram,06/13/25 04:44,Nurse was extremely friendly and made me feel comfortable during the procedure.,5
**,ocrq03tvtruupopgx4ac6fet,New York Clinic,Instagram,11/29/24 05:57,Prices for the consultation were too high compared to other clinics.,5
**,40yjddhcud7l44s3zwwmt70y,Leeds City Centre North,Google Reviews,11/21/24 05:57,"Nurse was rude and dismissive, barely answered my questions.",1
**,ds104fy3kw94e3xxzjqhpx8w,Cambridge Leisure Park,Instagram,01/19/24 21:50,Prices for the consultation were too high compared to other clinics.,2
**,y67xjfkuecqx1sgns1141zt6,London Holborn,Instagram,05/05/25 04:12,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",1
**,sdw2fw1t6y0ywkq1af7p2p7s,New York Clinic,Google Reviews,07/06/24 06:59,"Treatment quality was exceptional, the doctor explained every step clearly.",3
**,3639einejvfs1ic6iy0pmwzz,Cheshunt Brookfield Shopping Park,Twitter,09/20/24 22:58,Prices for the consultation were too high compared to other clinics.,1
**,luyha3bx9ju598syrlwregj4,Chicago Health Hub,Instagram,06/29/24 21:54,"Nurse was rude and dismissive, barely answered my questions.",5
**,7e7xmy5fyysw4e4qjt15k7dx,Liverpool Care Center,Google Reviews,08/16/24 10:31,"Nurse was rude and dismissive, barely answered my questions.",5
**,locozgs0ly6bs346rl00o66i,London Holborn,Google Reviews,12/06/24 18:11,"Nurse was rude and dismissive, barely answered my questions.",1
**,odg2rloqxhx000jkyeu5ip2c,Dallas Care,Google Reviews,08/04/25 16:48,Prices for the consultation were too high compared to other clinics.,2
**,ptxydjd5gmxpr3kbykyw9xbg,Cheshunt Brookfield Shopping Park,Twitter,05/27/25 08:36,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,hx8p9iiq8bg62rrnc1k3yluc,Chicago Health Hub,Instagram,12/23/24 13:43,"Waiting times were too long, had to wait over an hour past my scheduled time.",3
**,w4pt2t4it8vxxlkgd7ls6fz8,Los Angeles Center,Google Reviews,04/01/24 15:09,"Communication was clear and timely, received all updates via SMS and email.",2
**,c61iknvkps13bj4pog67xxt3,Leeds City Centre North,Instagram,06/19/24 16:21,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",5
**,ap1zwaxvb1w5zcs32mx5yjd9,Cambridge Leisure Park,Twitter,02/02/24 04:32,"Waiting time was minimal, I was seen within 10 minutes of arrival.",3
**,h6eadw65eybic11c1ic3j8jh,Leeds City Centre North,Facebook,01/13/24 01:04,"Treatment quality was exceptional, the doctor explained every step clearly.",4
**,3dph15rdkug4fr75swsfi3cl,Leeds City Centre North,Instagram,02/28/24 06:55,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",2
**,e727di54yed01365ehs3h9f1,Birmingham Wellness,Facebook,08/22/25 16:26,Doctor specialized in cardiology and provided detailed advice for my condition.,2
**,6mi9gjf0qckaybquvrhj6gkp,Leeds City Centre North,Instagram,09/14/25 13:10,"Treatment quality was exceptional, the doctor explained every step clearly.",5
**,2gt0x5y6zvq2tpw5k37lkds3,Dallas Care,Instagram,07/06/24 23:24,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",4
**,nlkhjz1wrch39f5h14ea5ktl,Miami Wellness,Instagram,02/15/24 07:38,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",3
**,de4hsv4vj4tx9ee8nky3n1ky,Leeds City Centre North,Instagram,11/29/24 07:16,"Nurse was rude and dismissive, barely answered my questions.",3
**,bd3em7izau1bxuc3liq3g8dg,Los Angeles Center,Facebook,10/21/25 03:11,"Waiting time was minimal, I was seen within 10 minutes of arrival.",3
**,l7ozhub6kirgkoqt64guohi9,Chicago Health Hub,Facebook,01/22/24 14:52,"Nurse was rude and dismissive, barely answered my questions.",4
**,f9ayoq57nrxd4us7m2mr056c,Chicago Health Hub,Instagram,05/13/24 18:40,"Waiting times were too long, had to wait over an hour past my scheduled time.",5
**,dsz63ss7sojnb6tlpvxmn8sh,Birmingham Wellness,Google Reviews,05/13/24 10:20,Doctor specialized in cardiology and provided detailed advice for my condition.,2
**,m8uz6sejw9ripoq5aq50xgzr,Cambridge Leisure Park,Instagram,08/03/24 14:08,"Treatment quality was exceptional, the doctor explained every step clearly.",2
**,1u5exz316h7suq1pmwpha4xb,New York Clinic,Facebook,03/01/25 08:54,Doctor specialized in cardiology and provided detailed advice for my condition.,3
**,65ve1ceexnnhna9uc0ryp98b,New York Clinic,Instagram,06/15/25 22:04,Nurse was extremely friendly and made me feel comfortable during the procedure.,2
**,ckgl46jylecpg6c4mljokolw,Cambridge Leisure Park,Instagram,10/22/24 00:09,Doctor specialized in cardiology and provided detailed advice for my condition.,5
**,usxtnv83b92d5wycwtpr1m2v,London Holborn,Instagram,11/14/24 05:10,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",2
**,58n6dx41tba7fpkz57r0u5vg,New York Clinic,Google Reviews,01/24/25 21:17,Nurse was extremely friendly and made me feel comfortable during the procedure.,1
**,k24fch0qwgyowlqstv052w9v,Cambridge Leisure Park,Twitter,09/03/24 10:42,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",4
**,ovme7il3zrs4wzckfuqhuvly,Miami Wellness,Twitter,01/08/24 15:30,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",2
**,6xnws9z8d9061nhf36y6vg32,Dallas Care,Facebook,08/08/24 11:44,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",5
**,zpqw13j4vx15ccukbshengkw,Cheshunt Brookfield Shopping Park,Facebook,02/24/24 21:31,Doctor specialized in cardiology and provided detailed advice for my condition.,2
**,isw2tjqm66ao280gbrn0fagv,Miami Wellness,Instagram,10/07/24 01:04,"Waiting times were too long, had to wait over an hour past my scheduled time.",1
**,hq6v4fuq5i2xaslo9pmmq7pc,Dallas Care,Facebook,05/23/25 04:06,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,5pcgwf97iur56mb5xgqiss0j,London Holborn,Instagram,06/12/24 02:49,Nurse was extremely friendly and made me feel comfortable during the procedure.,5
**,eyxwwq91nj0ax1w1qddrhx6i,Chicago Health Hub,Facebook,05/05/25 04:55,Prices for the consultation were too high compared to other clinics.,1
**,mh7orgrd1mr5e89ywt4j94yo,Los Angeles Center,Facebook,08/14/24 15:26,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",2
**,xn5vo06c4mhsmdd4kdkz5d6d,Birmingham Wellness,Twitter,05/19/25 05:16,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",3
**,kf7u59n3acir3qlfkf3fswna,Leeds City Centre North,Facebook,01/27/25 19:39,Doctor specialized in cardiology and provided detailed advice for my condition.,2
**,hcobhjoesvjl7zpvn01i63qg,Dallas Care,Instagram,03/29/24 17:12,"Nurse was rude and dismissive, barely answered my questions.",2
**,pxkk5wr4cgs4bu3qrrwptyzf,Cambridge Leisure Park,Facebook,09/08/24 05:06,"Waiting time was minimal, I was seen within 10 minutes of arrival.",1
**,5t5vhgx0q3h79jxwlmuhq9m7,Dallas Care,Twitter,06/18/24 11:28,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,i27kahc6zkr51rcj6bve7pxv,London Holborn,Facebook,03/12/25 16:22,"Waiting times were too long, had to wait over an hour past my scheduled time.",2
**,ofu0784snys59dd42kagawqy,Cambridge Leisure Park,Facebook,01/02/24 18:55,Nurse was extremely friendly and made me feel comfortable during the procedure.,1
**,uyvgdb0oyy178a8jcc5zyv8x,New York Clinic,Facebook,10/06/25 11:04,"Communication was clear and timely, received all updates via SMS and email.",4
**,qu4f6u08byt4nw9iaeh0m2b0,Miami Wellness,Twitter,10/10/24 17:22,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,ira5hqiz6n4eip8d75vwb36t,Cheshunt Brookfield Shopping Park,Google Reviews,06/03/25 19:52,"Nurse was rude and dismissive, barely answered my questions.",2
**,9fjbldxe9mach24jqrw0xcxd,New York Clinic,Google Reviews,10/17/24 14:34,Prices for the consultation were too high compared to other clinics.,2
**,hw61lk0ttvudr5gzh4zs7aa1,Cambridge Leisure Park,Twitter,01/05/24 20:52,"Waiting time was minimal, I was seen within 10 minutes of arrival.",4
**,gsexuwgc5in8hbh3x6z5ynjd,Dallas Care,Twitter,03/15/25 11:16,"Waiting times were too long, had to wait over an hour past my scheduled time.",1
**,wr3mfstywzedslovj8kfqmue,Chicago Health Hub,Facebook,10/27/25 08:57,Prices for the consultation were too high compared to other clinics.,5
**,0yx3e8oz2borbp7bdizjuz3o,Cambridge Leisure Park,Google Reviews,07/20/24 16:44,Prices for the consultation were too high compared to other clinics.,5
**,73tn4szpfjhe2p2jctzhjzg9,Cheshunt Brookfield Shopping Park,Facebook,02/29/24 18:42,Prices for the consultation were too high compared to other clinics.,1
**,3mpvjcmqmmmaevhh19pnbdb9,Miami Wellness,Facebook,04/04/24 10:20,"Communication was clear and timely, received all updates via SMS and email.",1
**,itzyen97wgs7eaxqjq5192ro,Liverpool Care Center,Google Reviews,04/10/25 19:21,"Communication was clear and timely, received all updates via SMS and email.",5
**,ty3oem0tqvxgnzw0iry9eb1k,Miami Wellness,Google Reviews,05/06/24 18:01,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",5
**,kbozswkpl5jlq1yrv086d6po,Manchester Health Hub,Instagram,09/06/25 15:02,"Waiting times were too long, had to wait over an hour past my scheduled time.",3
**,ui8pyr8yf93hvszkiz8h4ivn,Leeds City Centre North,Instagram,05/07/24 11:30,"Communication was clear and timely, received all updates via SMS and email.",5
**,o26ovxngnabsoo8v3k77al6b,Chicago Health Hub,Google Reviews,03/07/25 15:58,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",1
**,zor6t3w58wyy915v44hza88p,Manchester Health Hub,Facebook,07/31/25 05:58,Nurse was extremely friendly and made me feel comfortable during the procedure.,3
**,qw9usbdyals10cv1pislkrdr,New York Clinic,Google Reviews,09/27/24 20:03,"Treatment quality was exceptional, the doctor explained every step clearly.",5
**,mp6ewom6voyuuw5i751t4c53,Birmingham Wellness,Twitter,10/08/25 00:42,Prices for the consultation were too high compared to other clinics.,1
**,2rw4nlkmh0diqfjcy6vpxhtm,Los Angeles Center,Instagram,12/05/24 16:02,"Waiting times were too long, had to wait over an hour past my scheduled time.",5
**,xoy1kcg267lqj0egh7vjbg6v,Manchester Health Hub,Facebook,07/09/24 18:18,Nurse was extremely friendly and made me feel comfortable during the procedure.,4
**,u5zzpxb8sopoogjfl02wkjxm,Cheshunt Brookfield Shopping Park,Facebook,04/27/25 19:50,"Treatment quality was exceptional, the doctor explained every step clearly.",3
**,knf6bearvpr0h86ytubz6pnr,Cheshunt Brookfield Shopping Park,Google Reviews,09/07/25 20:05,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",3
**,puwa8dnzsmlwzmq1a4yisynt,Miami Wellness,Twitter,01/26/24 00:18,"Waiting time was minimal, I was seen within 10 minutes of arrival.",3
**,03f7xvy6b2v4gdjg67j4pfio,Chicago Health Hub,Google Reviews,03/22/25 01:45,"Waiting times were too long, had to wait over an hour past my scheduled time.",3
**,vmaem6g61t5hrmhq2q7tqiqj,Birmingham Wellness,Twitter,03/18/24 04:10,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",5
**,arkeusun6yminw5s8h9nms9b,Leeds City Centre North,Twitter,08/03/25 10:15,Nurse was extremely friendly and made me feel comfortable during the procedure.,2
**,rbzb3m7at0e82o61sshfleis,Manchester Health Hub,Instagram,10/31/24 16:50,"Treatment quality was exceptional, the doctor explained every step clearly.",1
**,zz317lwdcna847zqg7v6gmtx,Cheshunt Brookfield Shopping Park,Twitter,07/09/25 21:42,Prices for the consultation were too high compared to other clinics.,2
**,vpkmke0tlogbm460m8p8vgev,Leeds City Centre North,Instagram,04/23/25 17:45,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",1
**,kehiz2qvb618zsqkelsixokp,Cambridge Leisure Park,Google Reviews,08/17/24 14:56,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",2
**,tzf1cd8nltge245gfnpvfcg0,Cheshunt Brookfield Shopping Park,Instagram,12/31/24 14:16,"Waiting time was minimal, I was seen within 10 minutes of arrival.",1
**,s94x9df4anoen28h157vpwio,Los Angeles Center,Facebook,08/09/25 22:43,Nurse was extremely friendly and made me feel comfortable during the procedure.,4
**,a3a41zo4ufpvexg38o8tx6xq,Dallas Care,Facebook,11/19/24 15:26,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",1
**,0d1hv4wcertrrlexux74ue3i,Cheshunt Brookfield Shopping Park,Instagram,05/31/24 16:16,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",3
**,oabi6qrykp9k812kb5kqpx4k,Liverpool Care Center,Facebook,05/30/25 14:43,Doctor specialized in cardiology and provided detailed advice for my condition.,1
**,2368qs2lilsj0gar1hfllbdp,Birmingham Wellness,Google Reviews,02/17/25 23:43,Nurse was extremely friendly and made me feel comfortable during the procedure.,3
**,i6ttkdv6v0j99h4b3m2ecpjw,Los Angeles Center,Google Reviews,05/07/25 16:18,Prices for the consultation were too high compared to other clinics.,2
**,o3q6dasjf5wai2qsrau0dwfv,Los Angeles Center,Google Reviews,05/15/25 17:19,"Waiting time was minimal, I was seen within 10 minutes of arrival.",3
**,sk73p4c5s6l74gkn9cjbwc1i,Cambridge Leisure Park,Instagram,06/17/24 04:12,Prices for the consultation were too high compared to other clinics.,2
**,5osgm2zlbhaas85g99xor2hl,Los Angeles Center,Google Reviews,03/23/24 01:49,"Communication was clear and timely, received all updates via SMS and email.",1
**,71oj677vojkkn53yn1g45vzv,Birmingham Wellness,Google Reviews,08/08/25 10:41,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",2
**,zij9rs2a9u9fzltpsshgu3o4,Miami Wellness,Instagram,07/07/25 07:39,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",3
**,ssy42xbzwvtzhcgnrh6knsbo,Leeds City Centre North,Instagram,04/04/24 00:37,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",4
**,h9inuzjx03gmzrlgvcqnmih1,London Holborn,Google Reviews,09/21/24 12:55,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",4
**,bfkxx37hsn8v96jguzzao7gx,Chicago Health Hub,Google Reviews,04/24/25 21:33,"Treatment quality was exceptional, the doctor explained every step clearly.",4
**,bzl7e0nfx0ayg7pdltdhux5o,Birmingham Wellness,Facebook,05/20/25 04:54,"Waiting time was minimal, I was seen within 10 minutes of arrival.",3
**,sj8jtrts47inguq3oq8ec3er,Chicago Health Hub,Twitter,03/16/24 10:01,"Treatment quality was exceptional, the doctor explained every step clearly.",4
**,2b3luaae101mwcmne5ljsu4e,Birmingham Wellness,Instagram,02/02/25 13:52,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",2
**,bu5in3vk6vj9k1cvdb9mp8b1,Cheshunt Brookfield Shopping Park,Twitter,09/28/24 15:32,"Communication was clear and timely, received all updates via SMS and email.",4
**,ay098acekubbj28lg2csxqfj,Chicago Health Hub,Twitter,01/07/25 22:06,"Nurse was rude and dismissive, barely answered my questions.",3
**,myimatcgcczr24fgqbj09sf9,Cheshunt Brookfield Shopping Park,Instagram,05/09/25 06:58,"Waiting times were too long, had to wait over an hour past my scheduled time.",1
**,rvimxd03a6jxe2vbl0oocmnv,Manchester Health Hub,Facebook,10/12/24 15:25,Prices for the consultation were too high compared to other clinics.,1
**,qtpnj1f1e3h4jaynbbz90yfg,Birmingham Wellness,Google Reviews,05/15/25 04:20,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",5
**,e05yonbejt2x1veush76i5ys,London Holborn,Instagram,12/13/24 20:53,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",4
**,nv242cambv0giafen0fo31pv,Manchester Health Hub,Twitter,06/30/25 14:35,Prices for the consultation were too high compared to other clinics.,3
**,yjf1z1wooawty12k6usgr03i,Cheshunt Brookfield Shopping Park,Facebook,04/01/25 13:36,"Communication was clear and timely, received all updates via SMS and email.",4
**,vc8zyigguhie7iaxlkl7iu1x,Birmingham Wellness,Instagram,03/11/25 04:42,"Waiting time was minimal, I was seen within 10 minutes of arrival.",3
**,twup22ge92f46jg01fab4ju0,Los Angeles Center,Facebook,01/28/24 00:16,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",3
**,h7enr0iq4gaobpbtkwc1s7t5,Leeds City Centre North,Instagram,02/04/25 06:41,"Waiting time was minimal, I was seen within 10 minutes of arrival.",5
**,ekvbbxwhl0wipmx310yknfa9,Dallas Care,Twitter,01/15/24 07:35,"Nurse was rude and dismissive, barely answered my questions.",5
**,2r8bivnskis2ekjlpfsk0xne,Los Angeles Center,Facebook,05/13/25 04:45,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,ybs0uccyh0pem0tduhrkbzpe,Cheshunt Brookfield Shopping Park,Google Reviews,07/07/25 00:59,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",4
**,5ue93e9a4i5hatq1k7vr4n2r,Miami Wellness,Twitter,05/10/25 00:29,Prices for the consultation were too high compared to other clinics.,3
**,cr0cbdrxqets9eg1xy6avcpa,Liverpool Care Center,Facebook,03/16/24 00:34,Nurse was extremely friendly and made me feel comfortable during the procedure.,2
**,vd6be6tqtmw9as4keh2n9qb6,Dallas Care,Instagram,03/07/24 04:58,Prices for the consultation were too high compared to other clinics.,3
**,nkt8tf7sthmzn628vq2ew2si,Los Angeles Center,Instagram,10/21/24 04:05,Prices for the consultation were too high compared to other clinics.,5
**,65chx762ugx0no11wqxawf9s,Miami Wellness,Twitter,05/08/24 17:33,Doctor specialized in cardiology and provided detailed advice for my condition.,1
**,r5628j0yfmbhf3b3ywaddsa4,Los Angeles Center,Twitter,01/18/25 06:25,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",3
**,2hqx6082tf4coasczb9yrfrc,Dallas Care,Google Reviews,08/19/24 13:18,Prices for the consultation were too high compared to other clinics.,1
**,2n0qt211fm077f9u7gzptofm,New York Clinic,Twitter,08/11/24 20:08,"Waiting times were too long, had to wait over an hour past my scheduled time.",4
**,sntpv5sj0lajt0h9ycc00jer,Miami Wellness,Facebook,05/11/25 12:59,"Waiting time was minimal, I was seen within 10 minutes of arrival.",1
**,0l1976es3qtluvlr8rahtpkz,New York Clinic,Facebook,08/14/25 21:52,"Nurse was rude and dismissive, barely answered my questions.",5
**,39l5og2xgihrhhva7vn86op5,Liverpool Care Center,Twitter,07/11/24 17:04,Nurse was extremely friendly and made me feel comfortable during the procedure.,2
**,yyn4eqoxwru535hn7phr39ut,Miami Wellness,Instagram,01/11/24 00:52,"Waiting times were too long, had to wait over an hour past my scheduled time.",4
**,f56kovfcn34g579bp91w2t4d,New York Clinic,Instagram,08/09/25 12:15,Nurse was extremely friendly and made me feel comfortable during the procedure.,3
**,l3ghn4hg9dsy1240zt3odom5,Liverpool Care Center,Instagram,10/30/24 15:18,"Nurse was rude and dismissive, barely answered my questions.",3
**,uyp0jbly5o06z6di4wuxchel,Los Angeles Center,Google Reviews,07/31/25 17:06,Nurse was extremely friendly and made me feel comfortable during the procedure.,5
**,wylq1rhdqmir8eimbg3p6fgs,Cambridge Leisure Park,Instagram,09/10/24 11:54,Nurse was extremely friendly and made me feel comfortable during the procedure.,1
**,ntxiknyjmibsqn268t0raan1,Los Angeles Center,Instagram,04/30/25 01:34,"Nurse was rude and dismissive, barely answered my questions.",5
**,az9calluwqmx6284gr7vle6d,Chicago Health Hub,Google Reviews,01/19/24 08:30,Nurse was extremely friendly and made me feel comfortable during the procedure.,3
**,yw0gvu5ertqp9k9ibygjieav,Cheshunt Brookfield Shopping Park,Facebook,01/01/24 08:29,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",1
**,awww9i802nj23db4m0jbxhw2,New York Clinic,Twitter,11/27/24 00:29,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",4
**,j3upqubevhimyudomkaj26jp,Manchester Health Hub,Twitter,09/25/25 17:42,Prices for the consultation were too high compared to other clinics.,3
**,fwrc6jfhsuiwmxs5b83fl1gn,Cheshunt Brookfield Shopping Park,Instagram,02/24/24 05:01,"Waiting times were too long, had to wait over an hour past my scheduled time.",1
**,x7q7bgc7hn27od9i602ck7mb,Miami Wellness,Twitter,04/17/25 07:11,"Nurse was rude and dismissive, barely answered my questions.",2
**,63tjur87jqispixy47fdl8xa,Miami Wellness,Twitter,08/25/24 21:12,Doctor specialized in cardiology and provided detailed advice for my condition.,1
**,j48p8v7loptk1cem446b0ir8,Liverpool Care Center,Twitter,01/31/25 12:37,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",4
**,sdxosggvjbzynuv0ojeiy7q0,Cheshunt Brookfield Shopping Park,Google Reviews,02/08/25 10:04,"Waiting times were too long, had to wait over an hour past my scheduled time.",1
**,ocg99s2hlwgpl36t4s0cb4yd,Liverpool Care Center,Facebook,07/30/24 02:05,Prices for the consultation were too high compared to other clinics.,1
**,vw3dcktwzzbc71nvye9fqfkw,Liverpool Care Center,Google Reviews,11/02/24 20:45,Doctor specialized in cardiology and provided detailed advice for my condition.,1
**,q6zluphc8ciwelzjyafqyjev,Dallas Care,Google Reviews,10/22/25 20:15,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",2
**,fu4ow0y6fgxrjic3cuvy278c,Dallas Care,Twitter,03/22/25 07:02,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",1
**,nyl0xi986e408cd00kl23t7x,London Holborn,Instagram,08/14/25 20:18,"Treatment quality was exceptional, the doctor explained every step clearly.",3
**,c6dt6gn84o7ndvu1dxxfgcj9,New York Clinic,Twitter,05/18/25 15:48,Prices for the consultation were too high compared to other clinics.,3
**,t59vhylo3ax0mdbni87f23g1,New York Clinic,Google Reviews,12/04/24 06:50,Doctor specialized in cardiology and provided detailed advice for my condition.,2
**,fkl4zweqn0juyw98da032bk2,Cheshunt Brookfield Shopping Park,Twitter,02/16/25 06:20,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",5
**,cm0p0a2fb2gz8wzkhdz77u26,Liverpool Care Center,Twitter,02/28/25 23:26,"Communication was clear and timely, received all updates via SMS and email.",3
**,eoh4pfb04hwvpomdme3xsvmw,Dallas Care,Instagram,10/02/24 11:09,"Waiting time was minimal, I was seen within 10 minutes of arrival.",4
**,sr78r3hhb0g9wy85073ezrs4,Manchester Health Hub,Twitter,07/03/24 22:39,"Waiting times were too long, had to wait over an hour past my scheduled time.",5
**,vb8hmqon314moesdg9jf61u3,Cambridge Leisure Park,Facebook,08/18/25 02:33,Nurse was extremely friendly and made me feel comfortable during the procedure.,3
**,mur8jnd6yndhexqbxe5jtw8i,Los Angeles Center,Twitter,08/30/24 20:22,Doctor specialized in cardiology and provided detailed advice for my condition.,2
**,088zu1ydbq1dqihi0mba4iw0,Leeds City Centre North,Facebook,02/23/24 02:46,Nurse was extremely friendly and made me feel comfortable during the procedure.,1
**,rpd4n6f55dcfsd6tidw3cpnp,Birmingham Wellness,Instagram,10/09/25 17:33,"Waiting times were too long, had to wait over an hour past my scheduled time.",4
**,7qyb5xyo8no92nrhc4zevo7x,Cheshunt Brookfield Shopping Park,Instagram,02/11/25 08:23,Prices for the consultation were too high compared to other clinics.,3
**,czz484tjschoijhxdow8izv8,Miami Wellness,Instagram,10/01/24 00:01,"Waiting time was minimal, I was seen within 10 minutes of arrival.",4
**,1ldpf0i6i6065kscdi8y04zo,Los Angeles Center,Google Reviews,06/10/24 22:15,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",2
**,qn8iea409lj59gx7hl87hnsp,Dallas Care,Instagram,07/24/24 04:22,"Waiting time was minimal, I was seen within 10 minutes of arrival.",4
**,vujaqwt9yna43iq9e6qdnqcs,Leeds City Centre North,Facebook,04/04/24 22:12,Doctor specialized in cardiology and provided detailed advice for my condition.,5
**,f4xpxnc4vqvpn8ypi0se9s0d,Chicago Health Hub,Twitter,06/03/24 18:47,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,pid9twfdzbnfgasjfu6fo9kk,Miami Wellness,Facebook,02/28/24 13:15,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",3
**,mmsjqe26wq76hvykf2ggsjja,Cambridge Leisure Park,Instagram,06/15/24 14:19,"Treatment quality was exceptional, the doctor explained every step clearly.",1
